SampleID	Stages	Gender
HSB92_A1C_R [gene-level]	6	m
HSB92_AMY_R [gene-level]	6	m
HSB92_CBC_R [gene-level]	6	m
HSB92_DFC_R [gene-level]	6	m
HSB92_HIP_R [gene-level]	6	m
HSB92_IPC_R [gene-level]	6	m
HSB92_ITC_R [gene-level]	6	m
HSB92_M1C_R [gene-level]	6	m
HSB92_MD_R [gene-level]	6	m
HSB92_MFC_R [gene-level]	6	m
HSB92_OFC_R [gene-level]	6	m
HSB92_S1C_R [gene-level]	6	m
HSB92_STC_R [gene-level]	6	m
HSB92_STR_R [gene-level]	6	m
HSB92_V1C_R [gene-level]	6	m
HSB92_VFC_R [gene-level]	6	m
HSB96_A1C_L [gene-level]	5	m
HSB96_A1C_R [gene-level]	5	m
HSB96_CBC_NA [gene-level]	5	m
HSB96_DFC_L [gene-level]	5	m
HSB96_DFC_R [gene-level]	5	m
HSB96_HIP_L [gene-level]	5	m
HSB96_HIP_R [gene-level]	5	m
HSB96_IPC_L [gene-level]	5	m
HSB96_IPC_R [gene-level]	5	m
HSB96_MD_L [gene-level]	5	m
HSB96_MD_R [gene-level]	5	m
HSB96_MFC_L [gene-level]	5	m
HSB96_MFC_R [gene-level]	5	m
HSB96_MSC_L [gene-level]	5	m
HSB96_MSC_R [gene-level]	5	m
HSB96_STC_L [gene-level]	5	m
HSB96_STC_R [gene-level]	5	m
HSB96_STR_L [gene-level]	5	m
HSB96_STR_R [gene-level]	5	m
HSB96_V1C_L [gene-level]	5	m
HSB96_V1C_R [gene-level]	5	m
HSB96_VFC_L [gene-level]	5	m
HSB96_VFC_R [gene-level]	5	m
HSB97_A1C_L [gene-level]	5	f
HSB97_A1C_R [gene-level]	5	f
HSB97_AMY_L [gene-level]	5	f
HSB97_AMY_R [gene-level]	5	f
HSB97_CBC_L [gene-level]	5	f
HSB97_CBC_R [gene-level]	5	f
HSB97_DFC_L [gene-level]	5	f
HSB97_DFC_R [gene-level]	5	f
HSB97_HIP_L [gene-level]	5	f
HSB97_HIP_R [gene-level]	5	f
HSB97_IPC_L [gene-level]	5	f
HSB97_IPC_R [gene-level]	5	f
HSB97_MD_L [gene-level]	5	f
HSB97_MD_R [gene-level]	5	f
HSB97_MFC_L [gene-level]	5	f
HSB97_MFC_R [gene-level]	5	f
HSB97_MSC_L [gene-level]	5	f
HSB97_MSC_R [gene-level]	5	f
HSB97_OFC_L [gene-level]	5	f
HSB97_OFC_R [gene-level]	5	f
HSB97_STC_L [gene-level]	5	f
HSB97_STC_R [gene-level]	5	f
HSB97_STR_L [gene-level]	5	f
HSB97_STR_R [gene-level]	5	f
HSB97_V1C_L [gene-level]	5	f
HSB97_V1C_R [gene-level]	5	f
HSB97_VFC_L [gene-level]	5	f
HSB97_VFC_R [gene-level]	5	f
HSB98_A1C_L [gene-level]	6	f
HSB98_A1C_R [gene-level]	6	f
