ProbeID	Gene.symbol
2315554	TTLL10
2315633	B3GALT6
2315674	SCNN1D
2315739	PUSL1
2315894	VWA1
2315918	ATAD3C
2315951	ATAD3A
2316218	CALML6
2316245	PRKCZ
2316379	SKI
2316558	RER1
2316605	PLCH2
2316746	C1orf93
2316905	ACTRT2
2316953	PRDM16
2317246	ARHGEF16
2317317	TP73
2317434	TPRG1L
2317472	CCDC27
2317512	DFFB
2317686	AJAP1
2318086	KCNAB2
2318157	RNF207
2318170	RNF207
2318212	C1orf211
2318242	LOC100130071
2318257	ESPN
2318338	TAS1R1
2318364	ZBTB48
2318398	PHF13
2318416	THAP3
2318455	CAMTA1
2318637	VAMP3
2318656	PER3
2318736	PARK7
2319135	CA6
2319225	H6PD
2319252	SPSB1
2319340	SLC25A33
2319423	PIK3CD
2319518	NMNAT1
2319550	RBP7
2319560	UBE4B
2319661	KIF1B
2319802	PGD
2319832	APITD1
2319881	PEX14
2320048	TARDBP
2320188	ANGPTL7
2320210	UBIAD1
2320347	FBXO44
2320374	FBXO6
2320392	C1orf187
2320411	AGTRAP
2320472	CLCN6
2320581	PLOD1
2320619	MFN2
2320657	MIIP
2320683	TNFRSF8
2320727	TNFRSF1B
2320762	VPS13D
2321011	C1orf158
2321040	PRAMEF1
2321058	PRAMEF2
2321182	PDPN
2321238	PRDM2
2321466	KAZ
2321607	KAZ
2321645	TMEM51
2321779	EFHD2
2321797	CTRC
2321813	CELA2A
2321828	CELA2B
2321849	DNAJC16
2321911	DDI2
2321942	RSC1A1
2321960	PLEKHM2
2322004	SLC25A34
2322036	FBLIM1
2322103	SPEN
2322211	C1orf64
2322226	CLCNKA
2322264	CLCNKB
2322362	C1orf144
2322389	NECAP2
2322598	CROCC
2322786	PADI1
2322818	PADI3
2322848	PADI4
2322894	PADI6
2322957	ARHGEF10L
2323087	ACTL8
2323172	IGSF21
2323285	KLHDC7A
2323347	PAX7
2323559	MRTO4
2323603	PQLC2
2323743	RPS14
2323774	C1orf151
2323790	HTR6
2323847	PLA2G5
2323882	PLA2G2F
2323899	UBXN10
2323951	VWA5B1
2324061	FAM43B
2324084	CDA
2324097	PINK1
2324341	NBPF3
2324416	ALPL
2324571	CELA3B
2324594	CELA3A
2324616	HSPC157
2324634	CDC42
2324743	ZBTB40
2324820	EPHA8
2324856	C1QA
2324873	C1QC
2324884	C1QB
2324919	EPHB2
2325002	KDM1A
2325113	C1orf213
2325158	MDS2
2325192	RPL11
2325251	TCEB3
2325274	C1orf128
2325358	GRHL3
2325410	NIPAL3
2325479	RCAN3
2325526	SRRM1
2325593	CLIC4
2325877	RHD
2326018	LDLRAP1
2326049	MAN1C1
2326126	SEPN1
2326157	FAM54B
2326237	EXTL1
2326286	PDIK1L
2326295	GRRP1
2326311	ZNF593
2326327	CNKSR1
2326410	CCDC21
2326448	SH3BGRL3
2326463	CD52
2326485	LIN28A
2326496	DHDDS
2326531	HMGN2
